gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GAS7	ENSG00000007237.19	54.843583736014	-0.0691866076517783	0.682616473073212	-0.101355022008615	0.919268639779248	0.973941184820995
TRAPPC6A	ENSG00000007255.10	890.249529332919	1.1737796892608	0.56576145569019	2.07469009678093	0.0380152658015341	0.205271860845447
CD79B	ENSG00000007312.14	38.6527863166675	0.121308168880481	1.16035529300029	0.104543987184149	0.91673766277558	0.973613246183144
SCN4A	ENSG00000007314.12	64.813393027882	-0.34785418234921	1.03829390348909	-0.33502477591391	0.73760639667839	0.903155339553755
ST7L	ENSG00000007341.19	551.344294247221	-0.231396804852047	0.428210244140348	-0.540381291710072	0.588934107015677	0.828005817656103
PAX6	ENSG00000007372.25	70.535538179048	-0.219318704950624	0.725334125042618	-0.302369208036003	0.762370625241	0.913209080681407
RPUSD1	ENSG00000007376.8	2425.76757150769	-0.407885847055779	0.476894092624874	-0.855296497406236	0.39238702611024	0.702741669051755
RHBDF1	ENSG00000007384.15	1722.88103131759	0.267493220127126	0.449947278262842	0.594499029219301	0.552178391395968	0.808603826401085
LUC7L	ENSG00000007392.17	2310.77353815076	-0.421376541433814	0.432866286489232	-0.973456595225731	0.33032642254758	0.650598266486772
CACNA2D2	ENSG00000007402.12	73.1775206240588	0.355392759033322	0.611205062431989	0.58146239433818	0.560928856182011	0.812654000761639
BAIAP3	ENSG00000007516.15	369.113966198614	2.5053420147327	0.696779310003092	3.59560334063533	0.000323640619414609	0.00735657108205667
TSR3	ENSG00000007520.4	2706.41451304991	-0.110228154700596	0.439198090021273	-0.250975942757987	0.801832708921667	0.929264271378352
PIGQ	ENSG00000007541.17	2322.74623350415	-0.197116236519095	0.456122933414834	-0.432155943230818	0.665628077377861	0.867635933456151
CRAMP1	ENSG00000007545.16	1393.0882844347	-0.0223989321619599	0.575475427274327	-0.0389224823517657	0.968952191823941	0.989598566195946
TEAD3	ENSG00000007866.22	983.728455638317	0.125174020057535	0.397129506071375	0.315196977670649	0.752612100170068	0.909016058269124
DNAJC11	ENSG00000007923.17	3504.64077595108	-1.06142663854001	0.365330137865659	-2.9053902991445	0.00366795400682138	0.0442800517291148
MYLIP	ENSG00000007944.15	366.264158634369	0.191703470645055	0.63820563827432	0.300378842097686	0.763888200529489	0.913554275586496
NOX1	ENSG00000007952.18	19.328908831116	-0.408376900435736	0.943428896578171	-0.432864524202008	0.665113194003641	0.867275680915575
E2F2	ENSG00000007968.7	413.466706969324	-6.10417527458102	0.605025828478365	-10.0891151869218	6.17233575937925e-24	1.90186320255667e-21
PSMB1	ENSG00000008018.9	6181.70766519086	-0.515064313783337	0.447304417236983	-1.15148497071616	0.24953277478034	0.576246755179153
SYN1	ENSG00000008056.14	303.683570505568	0.840194975671536	0.763802991484848	1.10001529849756	0.271325456326853	0.598159304787946
JARID2	ENSG00000008083.14	2293.70658429733	-0.519821181874971	0.474155670234772	-1.09630911219007	0.272943523039057	0.600001661377047
CDKL5	ENSG00000008086.13	434.12346815007	-0.427540985163208	0.642316692976248	-0.665623344120402	0.505651881457091	0.781229117260953
CDK11A	ENSG00000008128.23	1629.52403205266	-0.140694526320295	0.39060013496414	-0.360200915786196	0.71869688991214	0.894947977867372
NADK	ENSG00000008130.15	2478.46512408159	-0.63117480713916	0.365413758408921	-1.72728801971609	0.0841159496945987	0.327181489756601
DLEC1	ENSG00000008226.20	57.197039889814	1.44547743915657	0.883935484891086	1.63527481797461	0.10199145004855	0.366569525029852
CYTH3	ENSG00000008256.17	2001.54962764537	0.233967744948155	0.461944210834882	0.506484851331507	0.612516321531155	0.839314213640585
ADAM22	ENSG00000008277.15	402.943335661637	0.244079755323187	0.53019884951467	0.460355120624292	0.64526134263606	0.857191093131067
SYPL1	ENSG00000008282.10	2738.80994030204	0.439789955315142	0.372317238441886	1.1812237251104	0.237513858679024	0.563732764489423
CYB561	ENSG00000008283.16	1942.09943003063	-1.13832118181502	0.466325963970978	-2.44104182431039	0.0146449585593829	0.114825080981153
SPAG9	ENSG00000008294.22	4488.5081993078	0.48631473893881	0.457072361233542	1.06397756719822	0.287338861966047	0.61463603178897
CELSR3	ENSG00000008300.17	1723.921229121	-0.31058861142912	0.438674147844388	-0.708016674689697	0.478934902549838	0.763130742106055
AASS	ENSG00000008311.16	897.736464538221	0.256038663720359	0.650639014773863	0.393518768328622	0.693936364714176	0.882970889289998
PLEKHG6	ENSG00000008323.16	73.857959672775	-3.20936891425124	0.730122796455833	-4.3956563605878	1.1043853197938e-05	0.000470138768154327
SS18L2	ENSG00000008324.12	451.886505125642	-0.535848694260285	0.467993071318734	-1.14499279391112	0.252212142455982	0.578826674708416
MPND	ENSG00000008382.16	604.990363759889	0.0462920498163222	0.496652552431681	0.0932081182099433	0.925738225069695	0.975858290798421
